query,variant,algo,score_or_best,identity,len_ref,len_query
Pair1_s1,forward,NW,-5608,0.0,3000,98
Pair1_s1,reverse,NW,-5608,0.0,3000,98
Pair1_s1,revcomp,NW,-5608,0.0,3000,98
Pair2_s1,forward,NW,-5612,0.0,3000,97
Pair2_s1,reverse,NW,-5612,0.0,3000,97
Pair2_s1,revcomp,NW,-5612,0.0,3000,97
Pair5_s1,forward,NW,-5620,0.0,3000,95
Pair5_s1,reverse,NW,-5620,0.0,3000,95
Pair5_s1,revcomp,NW,-5620,0.0,3000,95
Pair3_s1,forward,NW,-5624,0.0,3000,94
Pair3_s1,reverse,NW,-5624,0.0,3000,94
Pair3_s1,revcomp,NW,-5624,0.0,3000,94
Pair4_s1,forward,NW,-5624,0.0,3000,94
Pair4_s1,reverse,NW,-5624,0.0,3000,94
Pair4_s1,revcomp,NW,-5624,0.0,3000,94
Pair9_s1,forward,NW,-5624,0.0,3000,94
Pair9_s1,reverse,NW,-5624,0.0,3000,94
Pair9_s1,revcomp,NW,-5624,0.0,3000,94
Pair10_s1,forward,NW,-5624,0.0,3000,94
Pair10_s1,reverse,NW,-5624,0.0,3000,94
Pair10_s1,revcomp,NW,-5624,0.0,3000,94
Pair7_s1,forward,NW,-5632,0.0,3000,92
Pair7_s1,reverse,NW,-5632,0.0,3000,92
Pair7_s1,revcomp,NW,-5632,0.0,3000,92
Pair6_s1,forward,NW,-5636,0.0,3000,91
Pair6_s1,reverse,NW,-5636,0.0,3000,91
Pair6_s1,revcomp,NW,-5636,0.0,3000,91
Pair8_s1,forward,NW,-5640,0.0,3000,90
Pair8_s1,reverse,NW,-5640,0.0,3000,90
Pair8_s1,revcomp,NW,-5640,0.0,3000,90
Pair1_s1,revcomp,SW,75,0.6262,3000,98
Pair9_s1,reverse,SW,63,0.6064,3000,94
Pair4_s1,forward,SW,63,0.6061,3000,94
Pair4_s1,revcomp,SW,66,0.6058,3000,94
Pair3_s1,forward,SW,64,0.598,3000,94
Pair6_s1,reverse,SW,57,0.5978,3000,91
Pair10_s1,reverse,SW,61,0.5957,3000,94
Pair7_s1,revcomp,SW,63,0.5941,3000,92
Pair2_s1,forward,SW,66,0.5929,3000,97
Pair5_s1,forward,SW,61,0.5922,3000,95
Pair1_s1,forward,SW,67,0.5909,3000,98
Pair2_s1,revcomp,SW,63,0.5888,3000,97
Pair2_s1,reverse,SW,62,0.5888,3000,97
Pair9_s1,forward,SW,60,0.5882,3000,94
Pair4_s1,reverse,SW,62,0.5876,3000,94
Pair3_s1,reverse,SW,59,0.5859,3000,94
Pair6_s1,forward,SW,59,0.5851,3000,91
Pair10_s1,revcomp,SW,63,0.5849,3000,94
Pair1_s1,reverse,SW,61,0.5849,3000,98
Pair8_s1,revcomp,SW,59,0.5833,3000,90
Pair7_s1,forward,SW,58,0.5833,3000,92
Pair5_s1,reverse,SW,60,0.5825,3000,95
Pair9_s1,revcomp,SW,62,0.5818,3000,94
Pair7_s1,reverse,SW,57,0.5789,3000,92
Pair5_s1,revcomp,SW,62,0.578,3000,95
Pair6_s1,revcomp,SW,58,0.5729,3000,91
Pair10_s1,forward,SW,58,0.57,3000,94
Pair8_s1,reverse,SW,56,0.5699,3000,90
Pair8_s1,forward,SW,56,0.567,3000,90
Pair3_s1,revcomp,SW,56,0.5556,3000,94
